epoch,loss,hits5_tr,hits5_val
1,0.460485,0.518425,0.507925
2,0.451404,0.512807,0.505283
3,0.448445,0.500335,0.483429
4,0.446804,0.509148,0.495677
5,0.443741,0.524455,0.504803
6,0.443261,0.515539,0.504323
7,0.443086,0.522136,0.506724
8,0.441848,0.514250,0.504083
9,0.441148,0.522393,0.506244
10,0.440553,0.522651,0.510567
11,0.440005,0.546720,0.535062
12,0.440080,0.502190,0.491114
13,0.439443,0.514302,0.503842
14,0.438937,0.505540,0.497118
15,0.438762,0.528217,0.514169
16,0.438197,0.506777,0.494236
17,0.437704,0.509870,0.498319
18,0.437416,0.525177,0.518732
19,0.436964,0.513632,0.500240
20,0.437177,0.524661,0.508405
21,0.436173,0.533217,0.520413
22,0.436796,0.518064,0.505524
23,0.436562,0.509921,0.497598
24,0.435017,0.540793,0.528818
25,0.434791,0.532237,0.524736
26,0.434841,0.531516,0.520893
27,0.433802,0.535484,0.527137
28,0.432526,0.516827,0.507445
29,0.433247,0.522033,0.514169
30,0.432053,0.524661,0.505283
