epoch,loss,hits5_tr,hits5_val
1,0.450425,0.550121,0.537944
2,0.442707,0.570427,0.551873
3,0.440400,0.539504,0.524736
4,0.438362,0.520538,0.502882
5,0.436163,0.536103,0.520173
6,0.435112,0.526104,0.518492
7,0.435006,0.552543,0.538425
8,0.433873,0.541669,0.522094
9,0.433654,0.552904,0.528338
10,0.433074,0.524764,0.512488
11,0.432960,0.547647,0.524496
12,0.431904,0.548575,0.522815
13,0.432457,0.532547,0.512008
14,0.431831,0.520641,0.508405
15,0.431563,0.536257,0.522815
16,0.431290,0.535690,0.521614
17,0.430775,0.540432,0.525456
18,0.431180,0.524352,0.513208
19,0.431865,0.532031,0.505283
20,0.431738,0.538164,0.524496
21,0.431294,0.543267,0.527858
22,0.430821,0.539247,0.513929
23,0.430599,0.529557,0.514409
24,0.430229,0.541823,0.518732
25,0.430613,0.529351,0.509846
26,0.430388,0.545328,0.519452
27,0.429968,0.550327,0.535303
28,0.430606,0.517807,0.504083
29,0.430156,0.537288,0.520413
30,0.430351,0.538267,0.527137
