epoch,loss,hits5_tr,hits5_val
1,0.458245,0.498943,0.493756
2,0.451452,0.477916,0.464457
3,0.448317,0.482142,0.471182
4,0.446890,0.515642,0.501201
5,0.446725,0.480957,0.479107
6,0.446064,0.517755,0.510567
7,0.445538,0.487244,0.482949
8,0.444638,0.513065,0.501201
9,0.443756,0.518631,0.509366
10,0.443812,0.515693,0.498319
11,0.443565,0.493120,0.480307
12,0.442800,0.480390,0.469260
13,0.442637,0.523115,0.515850
14,0.441917,0.523476,0.505524
15,0.441759,0.513580,0.508646
16,0.441443,0.514044,0.499039
17,0.440961,0.510179,0.502161
18,0.441167,0.486368,0.476705
19,0.440960,0.513271,0.504083
20,0.440674,0.525743,0.518732
21,0.440516,0.513941,0.501201
22,0.439935,0.511673,0.499039
23,0.440144,0.501160,0.488232
24,0.439595,0.515951,0.502642
25,0.439434,0.521775,0.509366
26,0.439809,0.523733,0.518732
27,0.439385,0.523733,0.508165
28,0.439678,0.519971,0.512248
29,0.439017,0.521517,0.506724
30,0.439786,0.507808,0.495437
