epoch,loss,hits5_tr,hits5_val
1,0.467896,0.447289,0.434678
2,0.456406,0.497776,0.492075
3,0.450935,0.465681,0.461816
4,0.450120,0.500661,0.496878
5,0.449634,0.518572,0.512008
6,0.448729,0.503787,0.494476
7,0.446347,0.512682,0.512248
8,0.446154,0.531915,0.522334
9,0.445899,0.516288,0.510567
10,0.444036,0.529992,0.527858
11,0.444401,0.523140,0.526177
12,0.443550,0.519654,0.516811
13,0.443928,0.501623,0.488713
14,0.442894,0.526986,0.530019
15,0.443867,0.504748,0.505043
16,0.443679,0.526746,0.519693
17,0.441903,0.514124,0.507685
18,0.442472,0.533718,0.535303
19,0.443038,0.523500,0.522334
20,0.441977,0.520375,0.511768
1,0.468314,0.449573,0.439241
2,0.456259,0.499820,0.500480
3,0.451732,0.488881,0.486071
4,0.449512,0.494771,0.492555
5,0.449008,0.526385,0.523055
6,0.448525,0.491646,0.499039
7,0.446778,0.516649,0.515370
8,0.444693,0.512682,0.511287
9,0.445309,0.498858,0.495437
10,0.443402,0.507152,0.499760
11,0.443443,0.520976,0.516571
12,0.441679,0.514365,0.502882
13,0.442476,0.518091,0.506724
14,0.441855,0.510879,0.512968
15,0.442550,0.510759,0.504563
16,0.440764,0.513764,0.514169
17,0.440411,0.510879,0.507205
18,0.439466,0.535641,0.528578
19,0.439529,0.521337,0.512248
20,0.439323,0.505710,0.509606
21,0.438758,0.519413,0.507685
22,0.438715,0.510157,0.501921
23,0.438938,0.516288,0.507445
24,0.438318,0.516048,0.510807
25,0.437812,0.505950,0.506484
26,0.438396,0.534439,0.524015
27,0.436777,0.524101,0.510086
28,0.437599,0.516168,0.510807
29,0.436348,0.533237,0.528338
30,0.435438,0.525905,0.520653
