epoch,loss,hits5_tr,hits5_val
1,0.451232,0.540712,0.522244
2,0.443288,0.514844,0.501934
3,0.440060,0.560239,0.539894
4,0.438163,0.521113,0.500484
5,0.437597,0.548206,0.524903
6,0.437215,0.543162,0.515716
7,0.436747,0.531417,0.507253
8,0.435651,0.551304,0.527805
9,0.435662,0.544315,0.518375
10,0.434372,0.545107,0.519826
11,0.434920,0.554619,0.532882
12,0.435316,0.547341,0.528046
13,0.434531,0.543306,0.524420
14,0.434176,0.560095,0.531431
15,0.433524,0.547053,0.522969
16,0.433046,0.556060,0.525870
17,0.432595,0.566940,0.545455
18,0.432201,0.559807,0.543520
19,0.432374,0.559158,0.531673
20,0.431873,0.533074,0.510638
21,0.431725,0.522842,0.502901
22,0.430521,0.534227,0.514990
23,0.431417,0.558582,0.530948
24,0.431293,0.549287,0.525145
25,0.431199,0.540280,0.516199
26,0.429528,0.559302,0.528288
27,0.429905,0.536605,0.512089
28,0.430096,0.549215,0.533849
29,0.429838,0.557717,0.528046
30,0.429610,0.560095,0.524662
