epoch,loss,hits5_tr,hits5_val
1,0.459816,0.473699,0.465667
2,0.452169,0.515420,0.507253
3,0.450323,0.490921,0.482350
4,0.448232,0.518807,0.502660
5,0.446865,0.505188,0.493956
6,0.445062,0.521401,0.497340
7,0.444537,0.512178,0.500725
8,0.445149,0.522193,0.515957
9,0.444137,0.512754,0.507495
10,0.443900,0.497118,0.487427
11,0.443489,0.515997,0.504594
12,0.442832,0.499351,0.484526
13,0.443708,0.508286,0.492263
14,0.443206,0.521401,0.507495
15,0.442753,0.484003,0.476064
16,0.442376,0.484508,0.467843
17,0.441872,0.521617,0.508221
18,0.441819,0.507998,0.497099
19,0.441518,0.507206,0.492021
20,0.441526,0.518663,0.511122
21,0.441436,0.514051,0.498308
22,0.441020,0.507926,0.486702
23,0.440924,0.497334,0.480899
24,0.441993,0.524859,0.514265
25,0.441808,0.522121,0.502901
26,0.440814,0.512178,0.494439
27,0.440795,0.512466,0.491538
28,0.440384,0.504684,0.490329
29,0.439662,0.514267,0.514265
30,0.440034,0.522338,0.511605
