epoch,loss,hits5_tr,hits5_val
1,0.485663,0.500955,0.525140
2,0.464223,0.495226,0.495345
3,0.459895,0.506684,0.528864
4,0.456513,0.517505,0.556797
5,0.455800,0.491407,0.549348
6,0.454769,0.512412,0.551210
7,0.455867,0.515595,0.564246
8,0.454010,0.513049,0.532588
9,0.453829,0.506047,0.558659
10,0.452994,0.517505,0.551210
11,0.453636,0.487588,0.521415
12,0.451741,0.520687,0.558659
13,0.451718,0.514959,0.575419
14,0.452078,0.518141,0.541899
15,0.449979,0.529599,0.592179
16,0.451188,0.523870,0.551210
17,0.450955,0.528962,0.547486
18,0.448941,0.528326,0.567970
19,0.450293,0.484405,0.532588
20,0.449700,0.482495,0.515829
21,0.448408,0.536601,0.584730
22,0.448845,0.520687,0.558659
23,0.447269,0.515595,0.554935
24,0.449087,0.523870,0.560521
25,0.448027,0.511139,0.567970
26,0.449671,0.516868,0.567970
27,0.448724,0.537237,0.566108
28,0.447926,0.493316,0.538175
29,0.447971,0.547422,0.551210
30,0.447130,0.539784,0.566108
