player_id,deg_out,deg_in,str_out,str_in,betweenness,betweenness_w,pagerank_w
365409,11,24,27.0,49.0,0.05132038767847,0.06810035842293906,0.060846502655034884
434138,17,27,57.0,81.0,0.11201803765042205,0.17473118279569894,0.09275200542107179
125547,14,19,53.0,91.0,0.03677879261311018,0.14928315412186377,0.09804877086594621
236511,12,20,40.0,71.0,0.017733055345257306,0.0913978494623656,0.07018260409806033
254582,12,23,45.0,59.0,0.03705894373868399,0.07795698924731183,0.06730991720275638
135914,15,20,33.0,46.0,0.05571198069435144,0.10618279569892473,0.053948649828270925
80241,12,20,42.0,83.0,0.023053900485744523,0.03458781362007169,0.08360171045984037
375621,10,14,18.0,28.0,0.008137263853381812,0.00913978494623656,0.03343295488846236
300713,14,8,18.0,11.0,0.0140997020485099,0.008602150537634409,0.008920864574633421
73798,15,6,27.0,7.0,0.00582821543984532,0.001075268817204301,0.00823391463118835
361812,8,16,27.0,47.0,0.006637582687001054,0.02204301075268817,0.047767057066994564
534899,25,12,60.0,21.0,0.035571815985468457,0.005376344086021506,0.013934170549806722
20874,18,10,50.0,15.0,0.006566652000104816,0.0,0.01244277422406679
347862,18,9,47.0,22.0,0.0072477943190093486,0.007526881720430107,0.014028210469830445
379868,25,18,56.0,43.0,0.09480397769208729,0.13709677419354838,0.0262894576061686
353423,15,10,33.0,12.0,0.006723076658725531,0.006810035842293906,0.011651271903187944
296337,18,11,29.0,15.0,0.025848029755813767,0.010035842293906808,0.013259657277978057
104010,26,12,65.0,25.0,0.03564846755942354,0.03763440860215054,0.01391229885479545
76662,10,8,20.0,13.0,0.006132927155847359,0.026881720430107527,0.016831050839738584
344644,24,15,80.0,57.0,0.05345659031609687,0.2010752688172043,0.026594619209164692
337782,12,7,22.0,10.0,0.008587429595494111,0.002688172043010753,0.008229036772961579
422918,6,14,21.0,41.0,0.0020240506986650047,0.0,0.04402215153193362
144511,11,6,41.0,31.0,0.004286412512218964,0.05698924731182796,0.01566493834245656
369109,10,7,20.0,13.0,0.004675518627131531,0.001075268817204301,0.00831683630256259
317541,8,8,24.0,29.0,0.004679991454185003,0.013978494623655914,0.015343534924021343
381594,6,12,8.0,17.0,0.00815078028364886,0.021505376344086023,0.02373677170645764
422957,11,4,17.0,8.0,0.005022662003727923,0.002688172043010753,0.007267717797434996
302497,3,6,4.0,8.0,0.0022712920293565457,0.0016129032258064516,0.01149608182861016
127604,4,8,6.0,16.0,0.0010138248847926265,0.0,0.023059288540678367
303728,7,13,11.0,21.0,0.02100711415227544,0.022311827956989248,0.03515592586440246
367008,3,9,7.0,14.0,0.00032816645719871526,0.0032258064516129032,0.01941444177579869
25931,4,8,7.0,11.0,0.0029519077099722266,0.012903225806451613,0.014304811985685019
