from_id,to_id,weight,success_rate,dist_avg
144511,344644,13,1.0,11.281403154064439
254582,125547,13,1.0,11.41496140781678
361812,236511,12,1.0,14.80937718533628
80241,125547,11,1.0,11.797956864713603
254582,80241,11,1.0,13.35089783976211
144511,317541,11,1.0,12.325131770374021
125547,80241,10,1.0,12.48241714134813
434138,361812,9,1.0,13.270119594274245
20874,125547,9,1.0,12.490648354939427
125547,422918,9,1.0,17.77890404562107
317541,144511,8,1.0,10.779067930550886
344644,144511,8,1.0,16.304745464438827
344644,379868,8,1.0,12.503960712683748
125547,254582,8,1.0,14.744185995219446
236511,361812,7,1.0,16.884012650973823
534899,144511,7,1.0,14.302545962170475
344644,347862,7,1.0,14.705350467351504
80241,422918,7,1.0,12.240014465571267
135914,254582,7,1.0,13.271713237387024
422918,125547,7,1.0,7.218197031516094
365409,125547,7,1.0,12.037036090475699
422918,80241,7,1.0,8.726688418670838
104010,344644,7,1.0,19.474100884152733
125547,434138,7,1.0,7.953840236276832
434138,125547,7,1.0,10.020629903717305
104010,125547,6,1.0,15.085962418195498
379868,80241,6,1.0,9.818929086692306
434138,236511,6,1.0,16.10908303904111
534899,344644,6,1.0,11.678232955321933
20874,80241,6,1.0,16.19022437282275
20874,347862,6,1.0,13.748506748897972
317541,344644,6,1.0,8.404457944207513
80241,434138,6,1.0,12.777750125332181
344644,434138,6,0.8333333333333334,16.20504610560972
254582,135914,6,1.0,15.80520063080914
236511,434138,6,1.0,12.382117926895368
434138,80241,6,1.0,18.0874841150178
434138,365409,6,1.0,7.738929013971444
434138,135914,5,1.0,13.987416961370707
434138,254582,5,1.0,13.17179923649132
344644,236511,5,1.0,11.065300275381263
353423,80241,5,0.8,10.417970906704026
347862,80241,5,1.0,10.786250707683731
76662,254582,5,1.0,27.490782522515342
534899,80241,5,1.0,16.63763153598304
534899,104010,5,1.0,17.846014910190565
353423,125547,5,1.0,13.029642777014113
379868,344644,5,1.0,11.773645804980418
379868,317541,5,1.0,13.870714539288238
20874,365409,5,1.0,10.393608538695153
125547,365409,5,1.0,12.33363725521855
347862,344644,5,1.0,8.771395228464376
135914,236511,5,1.0,18.06039269042205
369109,144511,5,1.0,16.011349096095703
361812,434138,5,1.0,9.012556235627958
80241,254582,5,1.0,11.325822479503875
236511,76662,5,1.0,23.093013577705612
375621,236511,5,1.0,16.283761251804318
344644,125547,5,0.8,18.573558072164616
347862,125547,4,0.5,14.847893858284916
347862,434138,4,0.75,8.848811310953566
347862,422918,4,1.0,15.186176563033994
20874,236511,4,0.75,20.74897807593006
379868,236511,4,1.0,16.24837467482686
353423,434138,4,0.75,16.788682758743317
422957,379868,4,1.0,11.165663868346307
104010,236511,4,1.0,20.293627665212874
